tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
6.4993,0,4.1709,2.9124,0
8.1907,1.746,0.2028,3.124,0
8.1907,1.746,0.1922,2.8466,7.273
5.1707,1.6277,0.1775,3.1334,7.273
5.1707,1.6277,1.145,3.0057,5.5469
8.2172,1.2268,0.2451,8.3549,5.5469
8.2172,1.2268,0.2131,2.7784,5.4705
8.2172,1.2268,0.1995,2.6739,5.4705
6.745,1.1175,8.4678,2.7974,5.4705
6.745,1.1175,0.1817,2.7539,5.8143
6.4129,1.5018,0.1953,2.8065,5.8143
6.4129,1.5018,6.4757,2.8143,6.1177
5.846,1.3379,0.1587,2.849,6.1177
5.846,1.3379,0.2354,2.8445,9.0459
6.7015,1.3379,0.1928,2.8403,9.0459
6.7015,6.3973,5.8445,3.3009,9.0459
6.7015,6.3973,0.2079,3.288,6.6203
7.1707,1.5443,0.217,2.8985,6.6203
7.1707,1.5443,0.1944,3.0531,6.736
8.072,1.1299,0.3124,2.9447,6.736
8.072,1.1299,0.2197,2.9948,6.3855
6.5995,0.9792,9.0845,2.9221,6.3855
6.5995,0.9792,11.3727,3.1874,6.8021
6.5995,0.9792,0.1986,3.3399,6.8021
9.9977,1.56,0.3051,2.9348,6.8021
9.9977,1.56,0.1956,3.3112,6.6228
9.8163,5.9106,0.2719,2.932,6.6228
9.8163,5.9106,0.1889,2.9266,6.678
8.8134,1.0517,0.3112,2.8946,6.678
8.8134,1.0517,6.9569,3.3076,9.7562
7.0242,1.0517,0.2864,3.0142,9.7562
7.0242,1.2826,0.2894,3.006,9.7562
7.0242,1.2826,1.2216,3.1352,6.8534
5.2375,1.4212,0.5065,2.8475,6.8534
5.2375,1.4212,0.191,3.1651,6.5729
5.8228,1.0215,0.1895,2.9387,6.5729
5.8228,1.0215,8.2022,3.0311,6.6375
14.2251,1.5009,0.323,15.1697,6.6375
14.2251,1.5009,0.2294,3.1385,7.0019
14.2251,1.5009,0.2125,2.952,7.0019
8.6607,0.9998,14.5964,3.2436,7.0019
8.6607,0.9998,0.3384,2.9468,6.7589
9.1718,1.5138,0.3377,3.1168,6.7589
9.1718,1.5138,3.8914,2.9879,6.6641
6.7329,1.2455,0.339,6.86,6.6641
6.7329,1.2455,0.2076,9.2928,6.6807
5.469,1.061,0.2309,3.2629,6.6807
5.469,1.061,4.525,2.9586,6.6807
5.469,1.061,0.2101,2.9453,6.5938
15.5331,1.3539,0.2345,3.3459,6.5938
15.5331,1.3539,0.2463,2.9342,6.752
6.5796,1.1966,4.6485,3.0806,6.752
6.5796,1.1966,0.2119,2.7823,6.8054
6.6297,1.2219,0.3797,6.7429,6.8054
6.6297,1.2219,3.7251,3.1068,6.3323
6.6297,1.2219,0.1799,3.1258,6.3323
6.1032,1.3563,0.1944,3.1479,6.3323
6.1032,1.3563,0.2013,3.2505,6.6255
5.2012,1.1051,6.3858,2.9429,6.6255
5.2012,1.1051,0.2807,2.9417,6.1582
12.3653,1.1516,0.2067,12.5274,6.1582
12.3653,1.1516,14.9487,9.0006,6.2436
8.9442,1.3955,0.23,3.2071,6.2436
8.9442,1.3955,0.3882,2.6616,6.4172
8.9442,1.3955,3.5017,2.8756,6.4172
8.8895,1.5787,0.3447,2.8741,6.4172
8.8895,1.5787,0.1856,3.0603,6.1159
6.3308,1.304,0.2209,2.7059,6.1159
6.3308,1.304,1.768,3.1301,6.4286
5.9037,8.4123,0.2254,3.1292,6.4286
5.9037,8.4123,0.2713,3.016,6.2219
5.5203,1.5839,0.2028,3.2958,6.2219
5.5203,1.5839,10.1698,2.9909,6.2219
5.5203,1.5839,0.303,3.1102,6.7855
6.3426,1.3074,0.201,2.8478,6.7855
6.3426,1.3074,7.1471,3.1123,6.6584
8.7872,1.2666,0.2116,2.8364,6.6584
8.7872,1.2666,0.2378,3.3477,6.7136
6.2792,1.2023,0.2822,6.3942,6.7136
6.2792,1.2023,6.4136,3.0036,6.5234
6.2792,1.2023,0.223,3.3468,6.5234
7.8387,7.5335,0.2221,2.9441,6.5234
7.8387,7.5335,0.3281,3.2517,6.63
7.1006,1.0197,3.492,3.1536,6.63
7.1006,1.0197,0.2943,3.2149,7.0357
8.5514,1.2126,0.354,3.0718,7.0357
8.5514,1.2126,12.163,3.3197,9.8597
8.5514,1.2126,0.2825,2.9628,9.8597
7.7515,1.1818,0.2315,3.1832,9.8597
7.7515,1.1818,0.3694,2.9924,6.6994
5.2658,0.9949,6.8929,3.0908,6.6994
5.2658,0.9949,0.2931,3.0063,7.1966
8.3066,7.0671,0.2079,2.913,7.1966
8.3066,7.0671,9.8791,2.9405,7.0535
7.6627,1.1543,9.8791,7.7865,7.0535
7.6627,1.1543,0.175,2.9088,6.7809
7.6627,1.1543,0.2436,3.038,6.7809
9.0833,1.5105,3.8461,3.1129,6.7809
9.0833,1.5105,0.2342,3.1802,6.5989
7.58,1.4172,0.1989,3.1904,6.5989
7.58,1.4172,0.2303,2.9671,6.947
5.3947,1.0381,0.1883,5.4968,6.947
5.3947,1.0381,0.1928,9.5114,6.8012
16.6655,1.0381,17.2556,3.0462,6.8012
16.6655,1.4317,17.2556,2.9665,6.8012
16.6655,1.4317,0.2816,2.9079,6.6982
7.2177,2.8059,0.1802,2.9299,6.6982
7.2177,2.8059,0.3281,3.0957,6.7821
7.7047,1.5682,0.1928,3.2659,6.7821
7.7047,1.5682,0.2242,3.0872,6.8709
5.3981,1.0305,0.217,5.5019,6.8709
5.3981,1.0305,8.8198,3.1609,6.6741
5.3981,1.0305,0.1883,3
