tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
7.4882,1.612,6.3097,2.7108,5.3612
7.628,6.4172,0.1998,3.0465,5.3612
7.628,6.4172,0.1802,2.9577,6.2031
7.628,6.4172,7.2832,3.0253,6.2031
5.2498,1.0791,7.2832,3.0594,6.6922
5.2498,1.0791,0.2393,2.9752,6.6922
7.5453,1.2307,0.1862,2.7008,6.1887
7.5453,1.2307,2.4475,2.8892,6.1887
5.2003,1.5486,0.2279,2.7268,6.1887
5.2003,1.5486,0.4452,3.3661,6.4314
6.1431,1.5486,0.1977,2.7941,6.4314
6.1431,1.8184,15.487,2.7739,6.3088
6.1431,1.8184,0.1995,2.888,6.3088
18.0719,1.6793,0.4226,9.2113,6.5835
18.0719,1.6793,1.0453,3.0139,6.5835
5.5297,1.0248,0.1959,3.2563,6.5835
5.5297,1.0248,0.191,3.0169,6.585
5.4412,1.0571,0.1841,6.0063,6.585
5.4412,1.0571,3.8968,3.249,6.5509
5.4412,1.0571,0.2251,3.1132,6.5509
8.4476,1.2669,0.2402,3.403,6.6252
8.4476,1.2669,0.2158,2.9843,6.6252
6.8341,1.1377,0.2098,3.0305,6.6463
6.8341,1.1377,0.2091,3.0803,6.6463
9.387,1.2253,0.2185,2.7645,6.6463
9.387,1.2253,4.3626,3.1711,6.3788
8.0748,1.1105,0.4093,3.0649,6.3788
8.0748,1.1105,0.2345,2.8442,6.569
8.0748,1.1105,1.896,2.8783,6.569
6.3435,1.1597,0.2025,2.9167,6.7658
6.3435,1.1597,0.2357,3.2424,6.7658
5.3084,1.2102,0.233,2.9468,6.7658
5.3084,1.2102,4.5157,2.9157,6.6532
8.8409,1.2361,0.1865,3.4054,6.6532
8.8409,1.2361,0.2212,3.0588,6.604
8.8409,1.2361,15.4178,3.3218,6.604
11.5315,1.2123,15.4178,9.2249,6.5609
11.5315,1.2123,0.1886,2.9278,6.5609
7.2356,1.2313,0.1974,3.1132,6.5609
7.2356,1.2313,15.8516,3.2514,6.6203
5.9194,1.0982,0.2128,2.8705,6.6203
5.9194,1.0982,0.233,2.9915,6.8993
5.1961,1.1078,0.1995,3.0163,6.8993
5.1961,1.1078,3.0492,2.9003,6.5714
5.1961,1.1078,0.2439,3.0456,6.5714
8.9514,5.5674,0.393,2.8357,6.6484
8.9514,5.5674,2.3337,2.8741,6.6484
5.5345,1.0082,0.3866,3.0905,6.6484
5.5345,1.0082,0.2107,2.9028,6.8298
6.4649,1.2485,0.2306,2.9966,6.8298
6.4649,1.2485,14.1113,3.1095,6.5095
6.4649,1.2485,0.2481,3.2351,6.5095
6.4582,1.3868,0.2261,9.5488,6.8591
6.4582,1.3868,0.2508,3.3118,6.8591
5.7509,87.9514,5.8542,3.3414,6.8591
5.7509,87.9514,0.2463,3.0422,6.8443
7.0967,6.6409,0.2179,3.3495,6.8443
7.0967,6.6409,4.2784,2.9982,7.0605
7.0967,6.6409,0.4334,3.3897,7.0605
6.3976,1.1576,0.1823,2.6972,5.5961
6.3976,1.1576,0.1983,3.1488,5.5961
7.804,1.0924,0.188,2.7087,5.4931
7.804,1.0924,0.1986,2.9471,5.4931
5.3443,1.1117,0.2022,2.9529,5.4931
5.3443,1.1117,10.1444,3.1557,6.6819
6.0905,1.1199,12.3248,6.2116,6.6819
6.0905,1.1199,0.2324,3.2852,5.7802
6.0905,1.1199,0.4147,3.083,5.7802
5.2239,4.9881,0.4147,3.0806,9.6599
5.2239,4.9881,0.1925,3.0139,9.6599
8.4621,1.4837,0.3335,3.3124,9.6599
8.4621,1.4837,3.0178,3.0371,6.6795
6.0042,1.3113,0.3257,2.865,6.6795
6.0042,1.3113,0.2565,3.3172,6.7701
5.1756,1.004,0.211,3.0187,6.7701
5.1756,1.004,3.4887,2.974,6.8114
5.1756,1.004,0.3556,2.8361,6.8114
7.8991,1.1779,0.4108,3.1437,6.4984
7.8991,1.1779,2.6326,2.8001,6.4984
12.0842,1.1465,0.4428,2.9701,6.4984
12.0842,1.1465,0.4099,3.3366,6.5476
12.0842,1.1465,0.1799,2.9737,6.5476
7.7575,1.0936,5.5004,3.0803,6.5591
7.7575,1.0936,0.2303,3.0416,6.5591
5.1771,1.2343,0.2043,9.6457,6.6704
5.1771,1.2343,0.2967,3.2013,6.6704
5.7823,0.9934,13.6428,3.2128,6.6704
5.7823,0.9934,0.2119,3.0018,6.6569
7.6926,1.4269,0.233,2.9565,6.6569
7.6926,1.4269,3.2961,2.9556,6.8908
15.2753,1.4269,0.4114,3.0471,6.8908
15.2753,1.5311,0.2043,2.7582,6.7707
15.2753,1.5311,0.2273,2.8285,6.7707
6.237,1.1682,14.6215,3.0483,7.0931
6.237,1.1682,0.2176,3.0136,7.0931
8.933,1.4879,0.2016,3.1681,7.0931
8.933,1.4879,0.1883,2.8303,6.7701
8.8617,1.3288,8.7199,8.9994,6.7701
8.8617,1.3288,0.2134,2.974,6.8579
8.8617,1.3288,0.2107,3.0549,6.8579
7.9471,1.1682,3.0573,9.218,6.6864
7.9471,1.1682,0.1838,2.929,6.6864
8.5134,1.2853,0.1759,3.025,6.6864
8.5134,1.2853,0.2345,3.2004,6.5029
6.6499,1.6005,0.2882,7.458,6.5029
6.6499,1.6005,0.2022,2.939,6.6831
5.1922,1.0212,0.2125,2.9634,6.6831
5.1922,1.0212,3.0567,3.3655,6.7849
5.1922,1.0212,0.2173,3.0709,6.7849
5.9082,1.7433,0.2239,3.2641,6.6958
5.9082,1.7433,5.7956,2.9653,6.6958
5.4654,6.585,0.3607,2.9976,6.6958
5.4654,6.585,0.1871,3.0012,6.7145
7.1456,1.7602,0.3344,7.791,6.7145
7.1456,1.7602,8.8726,3.3317,6.5198
7.6144,1.5582,0.2922,3.1083,6.5198
7.6144,1.5582,0.2085,8.8014,6.1724
7.6144,1.5582,0.3024,3.2813,6.1724
8.4189,1.1721,5.5949,3.3242,6.1724
8.4189,1.1721,0.3408,3.2071,6.8642
6.4694,1.48,0.2149,2.8499,6.8642
6.4694,1.48,2.2794,2.945,6.3689
5.2263,4.9202,0.5023,3.0788,6.3689
5.2263,4.9202,0.1898,3.0443,6.0281
5.2263,4.9202,0.2046,3.1959,6.0281
5.1532,1.029,14.166,2.7651,6.2563
5.1532,1.029,0.3027,3.0878,6.2563
6.7003,1.0731,0.2306,3.1929,6.2563
6.7003,1.0731,0.1889,3.0395,6.0595
6.0549,1.0336,8.6583,2.7545,6.0595
6.0549,1.0336,0.1901,3.1536,6.3272
6.0549,1.0336,0.4494,2.8617,6.3272
6.3438,1.6482,11.7477,8.9285,6.2204
6.3438,1.6482,0.1802,2.9477,6.2204
14.0615,1.7704,0.1992,2.8859,6.2204
14.0615,1.7704,0.2276,3.0199,6.1376
6.7411,1.4308,3.8582,2.8182,6.1376
6.7411,1.4308,0.1865,3.2306,6.3885
8.2764,1.4308,0.2215,2.9163,6.3885
8.2764,1.4994,0.2188,3.0024,6.7157
8.2764,1.4994,6.3595,3.0694,6.7157
6.5621,1.1863,0.3927,2.8831,6.6511
6.5621,1.1863,0.2916,3.3151,6.6511
8.4237,1.1815,0.2291,3.2807,6.6511
8.4237,1.1815,0.198,3.2496,6.5412
9.9126,1.0369,0.1938,10.5685,6.5412
9.9126,1.0369,5.7147,3.096,6.9174
9.9126,1.0369,0.223,3.0299,6.9174
6.7233,1.5096,0.1931,9.8625,6.9781
6.7233,1.5096,0.2273,3.252,6.9781
5.2248,1.1395,15.2141,3.1234,6.9781
5.2248,1.1395,0.1922,2.9586,6.5977
5.2565,1.0819,0.1931,2.8943,6.5977
5.2565,1.0819,2.9496,3.3402,6.7221
8.1611,1.3089,0.2843,2.9867,6.7221
8.1611,1.3089,0.246,3.0371,6.6303
8.1611,1.3089,0.2125,3.1086,6.6303
12.6457,1.0471,13.4101,3.1588,6.3031
12.6457,1.0471,0.2146,2.8508,6.3031
7.4073,1.2243,0.2891,3.0812,6.3031
7.4073,1.2243,0.2052,2.7784,6.7263
5.6178,1.0173,9.3749,5.7189,6.7263
5.6178,1.0173,0.1916,2.9263,6.4148
5.6178,1.0173,0.2212,2.9511,6.4148
5.4279,1.4323,4.618,3.012,9.3511
5.4279,1.4323,0.2541,2.9508,9.3511
6.131,1.2992,0.1971,3.1117,9.3511
6.131,1.2992,0.3142,2.9085,6.5533
11.9387,1.4139,13.2984,3.3867,6.5533
11.9387,1.4139,0.2955,2.8991,6.5817
5.725,1.0725,0.1784,3.1237,6.5817
5.725,1.0725,0.3224,3.0105,6.5382
5.725,1.0725,6.0084,3.1726,6.5382
10.1523,1.0876,0.3003,2.9752,6.6532
10.1523,1.0876,0.4588,3.0842,6.6532
5.2528,1.627,7.1254,3.2544,6.6532
5.2528,1.627,0.188,3.0326,6.8111
6.0694,6.3619,0.1986,2.8158,6.8111
6.0694,6.3619,10.0641,3.0923,6.5684
6.0694,6.3619,12.3279,3.0664,6.5684
9.7653,1.5606,0.2209,9.4854,6.9648
9.7653,1.5606,0.2372,2.9046,6.9648
8.3775,1.0713,0.2161,2.8188,6.9648
8.3775,1.0713,0.2351,3.4368,6.784
5.6184,1.1939,0.2013,2.894,6.784
5.6184,1.1939,4.5483,3.0229,7.126
5.1288,1.1613,2.485,3.009,7.126
5.1288,1.1613,0.1823,3.0911,5.4726
5.1288,1.1613,0.198,3.121,5.4726
5.9152,1.2434,14.5487,2.9483,6.3019
5.9152,1.2434,0.252,3.0398,6.3019
8.5581,1.5667,0.233,3.2282,6.3019
8.5581,1.5667,0.2418,2.8958,6.9467
8.2465,1.3828,10.036,8.3519,6.9467
8.2465,1.3828,0.2285,2.8527,6.6831
8.2465,1.3828,0.4304,3.1222,6.6831
7.3403,5.635,11.3685,9.7031,6.6315
7.3403,5.635,0.1826,3.1467,6.6315
