tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
7.4913,1.1751,0.2484,2.6869,6.8434
7.3925,1.0499,0.1889,2.7808,6.8434
7.3925,1.0499,2.466,3.1735,6.0142
7.3925,1.0499,0.1762,2.9019,6.0142
7.2703,1.2883,0.1811,3.0887,6.5138
7.2703,1.2883,0.9714,3.0084,6.5138
6.9355,1.0801,0.169,2.9622,7.1984
6.9355,1.0801,0.1799,3.153,7.1984
5.5167,1.819,0.1826,6.0637,7.1984
5.5167,1.819,10.5272,3.3529,6.4184
10.8635,1.1643,0.2046,3.0555,6.4184
10.8635,1.1643,0.1569,2.9982,9.1322
10.8635,1.1643,0.2085,3.2203,9.1322
7.7599,1.2666,0.2091,2.923,6.4975
7.7599,1.2666,0.2155,3.0833,6.4975
5.4406,1.0263,0.1784,5.5306,6.4975
5.4406,1.0263,8.7673,3.0736,6.3215
4.8459,1.0755,0.2107,3.1023,6.3215
4.8459,1.0755,0.1678,2.8777,6.6834
4.8459,1.0755,0.1805,3.0362,6.6834
7.5613,7.5003,6.0734,2.9846,6.1301
7.5613,7.5003,0.1907,3.2635,6.1301
6.9557,1.0807,0.182,3.2783,6.6641
6.9557,1.0807,3.0516,2.961,6.6641
5.9882,1.2832,3.0516,3.2855,6.6641
5.9882,1.2832,0.2248,2.8605,6.3855
5.5197,1.0776,0.1808,3.0643,6.3855
5.5197,1.0776,6.6889,9.6007,6.7281
5.5197,1.0776,0.2535,2.8243,6.7281
9.9624,1.5226,0.1787,3.3752,6.5708
9.9624,1.5226,0.2134,2.9037,6.5708
7.7644,1.5045,9.2823,7.8671,6.5708
7.7644,1.5045,0.2125,3.0283,6.6825
5.0941,0.978,0.204,2.8777,6.6825
5.0941,0.978,0.204,2.8883,6.7948
5.0941,0.978,0.182,3.204,6.7948
5.146,1.0804,0.1968,3.1929,6.5726
5.146,1.0804,10.7575,2.9547,6.5726
5.0216,5.3208,13.549,3.0483,6.5932
5.0216,5.3208,0.1657,3.0326,6.5932
4.8197,0.9789,0.1762,2.8753,6.5932
4.8197,0.9789,0.2098,3.1485,6.9877
8.0195,1.106,0.1935,2.8303,6.9877
8.0195,1.106,0.1974,2.7213,7.9854
8.0195,1.106,13.2595,2.8904,7.9854
6.0951,1.0336,0.249,3.0003,6.4875
6.0951,1.0336,0.2828,3.2599,6.4875
6.15,1.0435,0.1871,6.2364,6.4875
6.15,1.0435,13.1541,3.0791,6.0881
8.0108,6.4347,0.1669,3.0754,6.0881
8.0108,6.4347,0.2164,3.3378,6.6807
8.0108,6.4347,0.1784,2.9269,6.6807
5.2218,1.4185,15.346,2.993,6.4229
5.2218,1.4185,0.1784,3.0933,6.4229
5.9888,1.0016,0.2076,6.1102,6.8178
5.9888,1.0016,10.2253,3.2985,6.8178
7.9902,1.6138,0.2043,2.9414,6.8178
7.9902,1.6138,0.2267,2.9218,6.7994
4.8791,1.2077,0.2082,2.9577,6.7994
4.8791,1.2077,12.2138,2.9001,9.3351
4.8791,1.2077,0.2152,2.8433,9.3351
5.7953,6.3719,0.2547,3.1083,6.739
5.7953,6.3719,0.2146,2.8614,6.739
7.7811,1.4695,9.8625,7.8577,6.739
7.7811,1.4695,0.1971,2.8702,6.9071
7.4076,1.0647,0.2046,3.4428,6.9071
7.4076,1.0647,8.0527,3.0356,5.878
7.4076,1.0647,0.2312,3.0797,5.878
4.8873,1.0085,0.1787,3.0462,5.6577
4.8873,1.0085,0.1865,3.0791,5.6577
5.6658,1.1597,0.5699,3.0585,6.3945
5.6658,1.1597,0.2131,3.0923,6.3945
9.9657,1.0776,0.1642,3.076,6.3945
9.9657,1.0776,0.207,3.1579,6.8679
5.191,1.0176,13.0669,3.2774,6.8679
5.191,1.0176,0.1874,2.9988,6.8211
5.191,1.0176,0.2091,3.0368,6.8211
7.2546,1.2896,10.7334,3.1222,6.0187
7.2546,1.2896,0.1853,3.1129,6.0187
6.1962,1.666,0.2055,6.2934,6.0187
6.1962,1.666,0.1735,2.8608,6.0809
5.9306,1.4951,15.3092,3.2345,6.0809
5.9306,1.4951,0.1944,8.9617,6.3055
5.9306,1.4951,0.1826,2.9203,6.3055
10.2769,1.5926,0.1859,3.0332,6.5971
10.2769,1.5926,8.7522,2.9668,6.5971
5.3703,1.1588,0.2067,3.2249,6.5971
5.3703,1.1588,0.2161,2.9019,6.4057
7.5915,1.544,15.3925,2.9064,6.4057
7.5915,1.544,0.1989,2.9019,6.3136
7.5915,1.544,0.2514,3.3776,6.3136
7.3044,1.4311,0.1992,3.0422,6.9992
7.3044,1.4311,13.0741,3.259,6.9992
7.9438,1.3222,0.1729,3.1799,6.2228
7.9438,1.3222,0.2119,2.9049,6.2228
14.2801,1.5072,0.1919,2.9988,6.2228
14.2801,1.5072,0.265,2.9716,6.3798
8.6127,1.4689,0.2149,3.0676,6.3798
8.6127,1.4689,11.2339,3.0519,9.3762
8.6127,1.4689,0.2055,3.0779,9.3762
7.9519,1.2416,0.1811,2.8693,6.8446
7.9519,1.2416,0.1871,3.0456,6.8446
4.9063,1.1905,7.5287,2.8819,6.8446
4.9063,1.1905,0.2022,2.9849,5.527
9.179,5.7114,0.1693,2.8047,5.527
9.179,5.7114,0.1633,3.1123,6.3079
9.179,5.7114,12.3412,2.8185,6.3079
6.2499,1.2548,0.1696,2.7346,6.1917
6.2499,1.2548,0.2233,2.9079,6.1917
5.4204,1.2476,2.9816,3.1307,6.8129
5.4204,1.2476,0.1925,3.0226,6.8129
6.262,1.2883,0.2487,2.9194,6.8129
6.262,1.2883,0.1838,3.3402,6.931
7.7617,1.1706,2.9399,3.041,6.931
7.7617,1.1706,0.1841,9.2898,6.5832
7.7617,1.1706,0.2212,2.9924,6.5832
6.5862,7.548,0.1823,3.2013,6.5778
6.5862,7.548,5.0246,3.1313,6.5778
6.5373,1.5217,0.2119,2.8557,6.5778
6.5373,1.5217,0.2125,3.272,6.9328
7.0735,1.0351,15.4299,2.9327,6.9328
7.0735,1.0351,0.1995,2.9628,6.5262
7.4906,1.5386,0.1907,3.0072,6.5262
7.4906,1.5386,0.1575,2.9837,6.5899
7.4906,1.5386,12.2101,2.9816,6.5899
5.1128,1.0082,0.1506,2.9179,6.5899
5.1128,1.0082,0.2031,3.1373,6.6656
9.2192,1.4864,0.1856,9.3064,6.6656
9.2192,1.4864,7.6654,3.3076,6.8365
5.6227,1.0441,0.2143,2.9517,6.8365
5.6227,1.0441,0.2001,3.0718,6.4712
5.6227,1.0441,12.6044,3.0597,6.4712
7.2265,1.4426,0.2104,2.9873,7.116
7.2265,1.4426,0.1941,3.0157,7.116
8.0618,1.4746,0.1895,3.0018,7.116
8.0618,1.4746,15.3901,3.0745,6.889
5.3802,1.2367,0.1919,2.9106,6.889
5.3802,1.2367,0.2137,3.0585,9.7583
5.3802,1.2367,0.1696,2.904,9.7583
11.7196,1.5591,2.6688,3.3076,6.5766
11.7196,1.5591,0.2095,2.859,6.5766
6.9319,1.2056,0.4165,3.2683,6.5766
6.9319,1.2056,15.8308,2.8702,6.6626
5.0898,1.0215,0.1708,2.9725,6.6626
5.0898,1.0215,0.2143,3.3831,6.5195
7.9773,1.576,0.3224,3.0902,6.5195
7.9773,1.576,4.2657,3.0474,6.6161
7.9773,1.576,0.2131,3.339,6.6161
4.9126,1.0604,0.2197,2.8614,6.6161
4.9126,1.0604,0.1793,2.8916,6.454
8.2598,1.0429,15.9712,3.4353,6.454
8.2598,1.0429,0.1862,2.9477,6.8513
8.0633,2.0684,0.1892,8.1496,6.8513
8.0633,2.0684,0.2182,10.0363,7.1664
8.0633,2.0684,0.1868,3.2113,7.1664
7.1405,1.218,0.2623,2.9115,6.4054
7.1405,1.218,0.1916,3.0459,6.4054
5.6894,1.4782,0.2034,3.188,6.4054
5.6894,1.4782,0.1633,2.933,5.9801
6.6548,1.7795,0.2104,2.9366,5.9801
6.6548,1.7795,0.2082,3.3332,6.6493
6.8353,1.0622,0.195,3.0419,6.6493
6.8353,1.0622,0.2025,3.1983,6.1497
6.8353,1.0622,12.2433,2.8732,6.1497
5.1128,1.1217,0.5005,3.2991,6.1497
5.1128,1.1217,0.1826,2.8687,6.9811
7.5085,1.1362,1.0683,3.4467,6.9811
7.5085,1.1362,6.1669,3.0776,6.2062
5.5665,0.9943,0.1802,3.0371,6.2062
5.5665,0.9943,0.2248,9.7118,6.7363
5.795,4.3859,0.2064,3.3037,6.7363
5.795,4.3859,13.7612,3.0274,7.1109
5.795,4.3859,0.2058,2.9637,7.1109
5.9556,1.8673,0.2031,2.7615,7.1109
5.9556,1.8673,7.1426,3.2128,6.6279
4.9703,1.0013,0.2031,2.9456,6.6279
4.9703,1.0013,0.1904,2.8545,6.3447
6.6191,1.0598,0.1708,2.7262,6.3447
6.6191,1.0598,8.9834,2.8798,6.6662
6.6191,1.0598,0.1811,2.9725,6.6662
6.0501,1.8163,0.1916,2.993,6.6662
6.0501,1.8163,0.1781,3.0694,6.1558
6.5416,7.6721,10.238,2.9746,6.1558
6.5416,7.6721,0.214,2.9112,6.5835
7.385,1.0342,0.2067,7.481,6.5835
7.385,1.0342,3.1714,2.8454,6.7553
5.1442,1.173,0.1738,2.9278,6.7553
5.1442,1.173,0.2276,2.7319,6.1751
7.4777,1.0112,0.2245,2.9139,6.1751
7.4777,1.0112,14.0347,2.9468,6.1859
7.4777,1.0112,0.1904,3.0108,6.1859
6.2623,1.0852,0.2312,2.7434,6.1859
6.2623,1.0852,13.7865,3.128,6.3351
13.2899,1.0991,0.2113,2.779,6.3351
13.2899,1.0991,0.1681,2.7153,8.8313
5.1267,0.9841,0.1865,3.1234,8.8313
5.1267,0.9841,10.4578,3.1225,6.1654
5.1267,0.9841,0.1832,2
