tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
7.1725,1.0951,0.204,7.4454,6.6336
7.1725,1.0951,0.1802,2.7736,6.6336
7.1725,1.0951,8.1351,3.0501,6.2155
8.5321,1.1549,0.2188,3.0664,6.2155
8.5321,1.1549,0.3196,2.9016,6.694
9.1621,1.4906,13.7138,3.2934,6.694
9.1621,1.4906,0.1856,3.0226,6.694
13.4345,1.496,0.2061,4.2111,6.8658
13.4345,1.496,0.2134,3.4286,6.8658
13.4345,1.496,16.0071,2.9197,6.8141
6.4441,1.1582,0.223,3.1035,6.8141
6.4441,1.1582,0.1928,3.1002,6.0269
7.4638,1.0782,0.2098,2.8708,6.0269
7.4638,1.0782,15.0173,2.7428,8.6794
17.0444,1.5718,0.2082,2.9834,8.6794
17.0444,1.5718,0.1862,3.1379,8.6794
17.0444,1.5718,13.9435,2.8723,6.7734
8.1234,1.2102,0.2082,3.105,6.7734
8.1234,1.2102,0.1944,3.3468,7.3005
7.9302,1.1628,0.223,2.8961,7.3005
7.9302,1.1628,4.298,3.2813,5.3319
9.3487,3.8558,0.2028,2.8406,5.3319
9.3487,3.8558,0.2125,2.8828,5.3319
10.3425,1.5262,0.1666,3.1111,6.649
10.3425,1.5262,2.0261,2.9314,6.649
10.3425,1.5262,0.2052,2.7696,6.5965
9.5425,1.5057,0.2167,3.0558,6.5965
9.5425,1.5057,0.1871,3.0051,6.8624
8.3667,1.2189,0.2209,3.1518,6.8624
8.3667,1.2189,0.2134,9.2352,6.5554
12.0951,1.2506,12.4166,3.211,6.5554
12.0951,1.2506,0.2427,3.185,6.5554
12.0951,1.2506,0.2402,2.7591,6.5862
10.2295,1.5618,0.2179,3.3601,6.5862
10.2295,1.5618,7.9299,2.961,6.6101
10.1604,1.5347,0.2034,3.0486,6.6101
10.1604,1.5347,0.1901,2.9245,6.6046
10.852,6.3517,4.4595,2.8732,6.6046
10.852,6.3517,0.2143,3.1935,6.6448
7.6591,1.4939,0.2088,2.8877,6.6448
7.6591,1.4939,0.217,3.1334,6.6448
7.6591,1.4939,14.9832,2.8979,6.9237
9.7478,1.0695,0.2125,3.2596,6.9237
9.7478,1.0695,0.2348,3.3767,6.6922
7.0267,1.1637,12.7375,3.2677,6.6922
7.0267,1.1637,12.7375,9.266,6.617
14.076,1.5875,0.5599,2.993,6.617
14.076,1.5875,0.1832,3.2267,6.617
10.2217,1.5395,14.5494,2.9577,6.5905
10.2217,1.5395,0.1928,3.1811,6.5905
10.2217,1.5395,0.2067,2.8699,6.7
7.9809,1.5317,0.2155,3.3776,6.7
7.9809,1.5317,11.4289,3.0779,6.9204
8.3661,4.1827,0.2013,3.035,6.9204
8.3661,4.1827,0.2517,3.1352,6.7918
9.6004,1.2017,0.2421,9.7013,6.7918
9.6004,1.2017,3.6119,2.8798,6.7918
9.6004,1.2017,0.1959,2.888,6.5612
10.4964,1.3167,0.2191,3.0872,6.5612
10.4964,1.3167,12.6026,2.7856,6.5923
9.7155,1.209,0.2644,3.172,6.5923
9.7155,1.209,0.2028,8.8086,6.1494
12.7034,1.2135,0.2007,3.1669,6.1494
12.7034,1.2135,9.5352,2.9502,6.1494
7.4577,1.1682,0.2562,3.342,5.9128
7.4577,1.1682,0.1977,3.1521,5.9128
7.4577,1.1682,9.634,2.9453,6.4969
8.9644,1.8148,0.2116,3.086,6.4969
8.9644,1.8148,0.1835,3.0377,6.62
17.4045,1.4212,0.2191,2.9879,6.62
17.4045,1.4212,5.0394,2.8644,6.7577
7.8936,1.5021,0.223,8.4029,6.7577
7.8936,1.5021,0.2061,3.2828,6.7577
7.8936,1.5021,0.223,2.9785,6.7674
9.56,1.2488,13.3195,3.0477,6.7674
9.56,1.2488,0.2227,2.9719,6.8498
9.8087,1.0462,9.8419,2.913,6.8498
9.8087,1.0462,12.4685,2.8306,8.9913
10.1861,1.3843,0.1989,3.0459,8.9913
10.1861,1.3843,0.284,3.0736,8.9913
10.6636,1.3536,0.2137,3.0253,6.8908
10.6636,1.3536,0.1877,2.9275,6.8908
10.6636,1.3536,0.2137,3.2608,6.1989
7.2881,1.5489,0.2372,3.08,6.1989
7.2881,1.5489,6.429,3.1168,6.5989
14.7214,1.1948,9.1353,3.0069,6.5989
14.7214,1.1948,0.2315,3.249,6.716
8.1656,1.2026,0.259,8.2628,6.716
8.1656,1.2026,0.2028,3.3348,6.716
8.1656,1.2026,0.2052,2.9284,5.7881
6.9331,1.1676,0.2221,2.8726,5.7881
6.9331,1.1676,7.0336,3.2822,6.6267
