tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
8.0271,1.1767,0.2541,5.3778,6.2345
6.7538,6.3761,0.2318,6.8757,6.2345
6.7538,6.3761,12.5156,2.7778,6.1207
5.3147,0.9988,0.2058,2.8961,6.1207
5.3147,0.9988,0.198,2.7721,6.758
6.4404,1.0315,0.2212,3.367,6.758
6.4404,1.0315,13.6643,2.9601,6.8289
5.2477,1.6965,0.1928,3.0108,6.8289
5.2477,1.6965,0.2357,3.0015,6.8289
5.2477,1.6965,0.1693,3.0664,6.94
7.1818,1.2141,8.8252,3.1032,6.94
7.1818,1.2141,0.1971,2.6347,5.5922
9.841,4.9775,0.1919,2.8611,5.5922
9.841,4.9775,0.1892,2.7053,5.6522
6.6095,1.3342,0.2179,2.9692,5.6522
6.6095,1.3342,0.2122,2.8312,5.6522
6.6095,1.3342,0.1977,8.9873,6.2699
8.3262,1.0988,8.1028,8.4144,6.2699
8.3262,1.0988,0.2037,2.9474,6.2705
5.5562,1.0798,0.2179,3.3625,6.2705
5.5562,1.0798,0.2547,3.0308,6.6892
5.1976,1.4314,0.2155,2.9816,6.6892
5.1976,1.4314,0.1859,3.1367,6.3804
8.7615,1.4314,8.69,2.9535,6.3804
8.7615,9.3535,0.2128,3.115,6.3804
8.7615,9.3535,0.2098,3.4235,6.617
5.8506,1.0312,0.2134,5.9707,6.617
5.8506,1.0312,6.6753,2.9061,6.9986
8.8714,1.5154,0.2134,2.888,6.9986
8.8714,1.5154,0.233,2.872,6.732
7.0964,1.0508,0.179,2.9378,6.732
7.0964,1.0508,9.9077,3.2043,6.732
7.0964,1.0508,0.329,9.2403,6.4646
8.1388,1.1259,0.1895,8.8162,6.4646
8.1388,1.1259,2.9164,3.3507,6.6357
9.3647,1.1178,0.2095,3.0942,6.6357
9.3647,1.1178,0.2315,2.795,6.5787
8.1916,1.484,0.2224,3.3622,6.5787
8.1916,1.484,6.0694,3.2445,6.7897
5.8312,1.4631,0.2022,2.9456,6.7897
5.8312,1.4631,0.2264,2.8358,6.7897
5.8312,1.4631,0.195,2.9598,6.6237
8.4434,1.2926,24.0668,8.546,6.6237
8.4434,1.2926,0.1944,3.0504,6.3849
7.8028,1.2446,0.2339,3.1346,6.3849
