tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
6.7357,1.1754,0.2176,2.7222,5.3377
5.7153,1.0209,0.1612,2.8309,5.3377
5.7153,1.0209,0.1799,2.8865,6.2901
9.119,7.148,0.3057,3.0929,6.2901
9.119,7.148,0.191,2.9444,5.6673
8.4702,1.0034,0.6731,3.3224,5.6673
8.4702,1.0034,0.1593,3.0972,6.6653
7.0931,1.2606,0.1904,2.881,6.6653
7.0931,1.2606,0.1802,2.8973,6.6653
7.0931,1.2606,0.1841,3.2318,6.2542
5.1777,1.3904,0.2176,3.0356,6.2542
5.1777,1.3904,0.1938,3.2107,6.4872
5.3911,1.0867,7.6319,3.0108,6.4872
5.3911,1.0867,0.1935,9.3215,6.5992
6.6285,6.9926,0.2574,6.6901,6.5992
6.6285,6.9926,0.2822,3.1105,6.5992
6.6285,6.9926,0.2819,3.1938,6.7625
7.7934,1.4909,0.2418,2.9481,6.7625
7.7934,1.4909,0.227,2.8952,6.7
5.5046,1.0828,13.728,3.4069,6.7
5.5046,1.0828,0.1593,2.8668,6.592
8.2586,1.5084,0.2155,3.0966,6.592
8.2586,1.5084,0.1959,3.1458,6.8486
7.1996,1.8046,13.232,7.267,6.8486
7.1996,1.8046,0.1796,3.3553,6.8486
7.1996,1.8046,0.2967,2.9387,7.0644
13.6286,1.036,10.0759,3.0836,7.0644
13.6286,1.036,0.3003,3.0332,6.8621
5.962,1.1516,0.1678,3.2529,6.8621
5.962,1.1516,0.207,8.8156,6.173
5.8946,1.0785,14.582,5.9511,6.173
5.8946,1.0785,0.2079,3.1808,6.173
5.8946,1.0785,0.2034,2.8777,6.4459
5.9016,0.9847,0.2052,3.2004,6.4459
5.9016,0.9847,8.2251,2.9474,6.5355
5.7443,1.5525,0.2085,3.2451,6.5355
5.7443,1.5525,0.3269,2.9647,6.7275
11.0368,1.0988,4.9465,2.8041,6.7275
11.0368,1.0988,0.2846,2.8185,6.1579
8.7733,1.042,0.2061,3.1189,6.1579
8.7733,1.042,0.2381,3.2119,6.1579
8.7733,1.042,5.3144,3.0045,6.9521
8.0398,1.6044,0.2605,3.0166,6.9521
8.0398,1.6044,0.2173,3.0522,6.7151
7.0451,1.1579,0.3263,3.0474,6.7151
7.0451,1.1579,15.7668,9.3541,6.5074
5.3787,1.173,0.2418,5.4255,6.5074
5.3787,1.173,0.3299,3.1249,6.5074
5.3787,1.173,6.0776,3.4214,6.512
12.6304,1.1718,0.1808,2.9203,6.512
12.6304,1.1718,0.1904,3.2161,6.8718
6.1361,1.1057,0.2242,2.9891,6.8718
6.1361,1.1057,8.0902,3.0824,6.7163
8.1198,1.4459,0.2258,3.0293,6.7163
8.1198,1.4459,0.211,2.9565,6.547
6.496,1.2606,0.2052,3.2128,6.547
6.496,1.2606,10.5248,2.9197,6.547
6.496,1.2606,0.2245,2.9324,6.6907
5.9448,4.2515,0.3045,2.984,6.6907
5.9448,4.2515,3.7245,2.7558,6.5832
5.258,0.9916,0.1678,3.147,6.5832
5.258,0.9916,0.2049,9.2874,6.6886
6.7012,1.272,0.227,6.7565,6.6886
6.7012,1.272,6.0966,3.0238,6.6886
6.7012,1.272,0.2242,3.2593,6.5684
8.6308,1.6156,0.2233,2.8768,6.5684
8.6308,1.6156,7.7406,2.9794,6.8579
5.4418,1.0707,3.2801,2.8958,6.8579
5.4418,1.0707,0.1862,3.1114,6.7716
5.6746,7.0807,0.2635,5.7223,6.7716
5.6746,7.0807,0.3036,2.9653,6.1956
7.4523,1.1042,0.1759,3.0594,6.1956
7.4523,1.1042,0.2064,2.8828,6.1956
7.4523,1.1042,0.2179,3.0483,6.3825
5.5876,1.0275,10.8783,3.0929,6.3825
5.5876,1.0275,0.2155,3.2493,5.7796
7.9567,1.0155,0.2188,2.856,5.7796
7.9567,1.0155,0.1841,9.4302,6.5805
5.2015,1.0399,0.3009,5.2465,6.5805
5.2015,1.0399,0.5315,3.2366,6.5805
5.2015,1.0399,15.1356,3.2795,6.6774
7.8686,4.5519,0.243,3.0649,6.6774
7.8686,4.5519,0.2248,3.0395,6.7369
6.6472,1.8538,0.2091,2.9037,6.7369
6.6472,1.8538,5.4823,2.9088,6.8301
7.1384,1.4218,0.1886,3.278,6.8301
7.1384,1.4218,0.2442,2.9665,6.8477
6.3964,1.1908,0.2273,2.974,6.8477
6.3964,1.1908,14.7069,3.07,6.8477
6.3964,1.1908,0.1925,3.1222,6.832
5.2393,1.3376,0.1708,3.0102,6.832
5.2393,1.3376,14.371,2.8484,6.5717
10.8315,1.0994,0.1723,3.0929,6.5717
10.8315,1.0994,0.2372,9.5114,6.5823
10.2932,1.7855,0.2197,10.3292,6.5823
10.2932,1.7855,4.0055,2.9236,6.5823
10.2932,1.7855,0.201,3.3939,6.5213
7.2923,1.4933,0.2049,3.1569,6.5213
7.2923,1.4933,0.2218,3.1989,6.7577
5.7455,1.5126,12.3022,3.1717,6.7577
