biceps_emg, triceps_emg, subject_position, position_estimate, brace_position
-2.55788108916022E-05,4.9286286412098E-06,0,0,0
-2.51770834438503E-05,8.47570481710136E-06,0,0,0
-2.39779183175415E-05,1.00101306088618E-05,0,0,0
-2.44367656705435E-05,1.19912010632106E-05,0,0,0
-2.24964387598448E-05,1.21036664495477E-05,0,0,0
-2.35522475122707E-05,1.12919824459823E-05,0,0,0
-2.23315582843497E-05,1.02111380329006E-05,0,0,0
-2.39692835748428E-05,1.03728925751057E-05,0,0,0
-2.36084943026071E-05,1.05211984191556E-05,0,0,0
-2.50518369284691E-05,1.17890785986674E-05,0,0,0
-2.26831325562671E-05,1.02748626886751E-05,0,0,0
-2.18652476178249E-05,3.87078625863069E-06,0,0,0
-2.1863454094273E-05,-1.94356729821266E-07,0,0,0
-2.46595009230077E-05,6.37122911939514E-06,0,0,0
-2.61050481640268E-05,1.44783180076047E-05,0,0,0
-2.74633730441565E-05,1.67584348673699E-05,0,0,0
-2.71820008492796E-05,1.50227569974959E-05,0,0,0
-2.72907564067282E-05,1.33653929879074E-05,0,0,0
-2.19389094127109E-05,1.23786840049434E-05,0,0,0
-2.98215763905318E-05,1.91974668268813E-05,0,0,0
-2.16030130104627E-05,1.44381228892598E-05,0,0,0
-2.98498216579901E-05,1.35878599394346E-05,0,0,0
-2.70884283963824E-05,8.56885799294105E-06,0,0,0
-2.97190781566314E-05,1.11621548057883E-05,0,0,0
-2.63760102825472E-05,1.35645659611328E-05,0,0,0
-2.68547428277088E-05,1.78851423697779E-05,0,0,0
-2.61537807091372E-05,2.03448471438605E-05,0,0,0
-2.46800918830559E-05,2.19416451727739E-05,0,0,0
-2.28538028750336E-05,2.11863571166759E-05,0,0,0
-2.20424299186561E-05,1.82124986167764E-05,0,0,0
-2.50784814852523E-05,1.62091782840434E-05,0,0,0
-2.59316220763139E-05,1.28983328977483E-05,0,0,0
-2.73194928013254E-05,1.24158223115955E-05,0,0,0
-2.49131335294805E-05,1.20006952784024E-05,0,0,0
-2.47658535954542E-05,1.21512784971856E-05,0,0,0
-2.25447238335619E-05,1.11360704977415E-05,0,0,0
-2.24412578972988E-05,1.12303823698312E-05,0,0,0
-2.12888280657353E-05,1.12175548565574E-05,0,0,0
-2.26138436119072E-05,1.46365173350205E-05,0,0,0
-2.31378035095986E-05,1.69659215316642E-05,0,0,0
-2.46857962338254E-05,1.66442096087849E-05,0,0,0
-2.4288970962516E-05,1.50667920024716E-05,0,0,0
-2.38365464610979E-05,1.35662448883522E-05,0,0,0
-2.35142033488955E-05,1.11296421891893E-05,0,0,0
-2.28443277592305E-05,1.02609901659889E-05,0,0,0
-1.74537490238436E-05,8.03684815764427E-06,0,0,0
-2.44806760747451E-05,1.08886088128202E-05,0,0,0
-1.83954216481652E-05,6.04167689743917E-06,0,0,0
-2.17719916690839E-05,4.85164719066233E-06,0,0,0
-1.80897513928358E-05,2.29101488002925E-06,0,0,0
-2.1906716938247E-05,6.5164613261004E-06,0,0,0
-1.94805434148293E-05,7.75571152189514E-06,0,0,0
-1.92337047337787E-05,7.49551691114903E-06,0,0,0
-1.75362602021778E-05,7.4822423812293E-06,0,0,0
-1.71104566106806E-05,8.73492444952717E-06,0,0,0
-1.7101037883549E-05,9.4909310064395E-06,0,0,0
-1.60868039529305E-05,1.0731426300481E-05,0,0,0
-1.65706405823585E-05,1.32161212604842E-05,0,0,0
-1.55284851643955E-05,1.30049593281001E-05,0,0,0
-1.68823899002746E-05,1.22347973956494E-05,0,0,0
-1.62648339028237E-05,1.16616174636874E-05,0,0,0
-1.72823856701143E-05,1.21026314445771E-05,0,0,0
-1.65770361491013E-05,1.04075043054763E-05,0,0,0
-1.78040554601466E-05,1.01566238299711E-05,0,0,0
-1.63610584422713E-05,1.17401023089769E-05,0,0,0
-1.60954841703642E-05,1.53235978359589E-05,0,0,0
-1.6666846931912E-05,1.69033355632564E-05,0,0,0
-2.05299747904064E-05,1.59035680553643E-05,0,0,0
-2.28546068683499E-05,1.36539010782144E-05,0,0,0
-2.32890452025458E-05,1.1227388313273E-05,0,0,0
-2.36110954574542E-05,7.7116292231949E-06,0,0,0
-2.44180810113903E-05,5.17188709636685E-06,0,0,0
-2.00175527425017E-05,3.14486624120036E-06,0,0,0
-2.79164196399506E-05,3.64859806722961E-06,0,0,0
-1.96565215446753E-05,3.2721573006711E-06,0,0,0
-2.46182280534413E-05,6.39952168057789E-06,0,0,0
-2.21770042116987E-05,6.73314616506104E-06,0,0,0
-2.65342514467193E-05,8.78656646818854E-06,0,0,0
-2.49314052780392E-05,9.36268043005839E-06,0,0,0
-2.62933790509123E-05,9.15580494620372E-06,0,0,0
-2.64808804786298E-05,9.10873222892405E-06,0,0,0
-2.66070037469035E-05,8.90573028300423E-06,0,0,0
-2.57821502600564E-05,1.03489810499013E-05,0,0,0
-2.45438986894442E-05,1.27753719425527E-05,0,0,0
-2.60839169641258E-05,1.3188083357818E-05,0,0,0
-2.55501836363692E-05,1.10559467429994E-05,0,0,0
-2.52459431067109E-05,1.0174367162108E-05,0,0,0
-2.30989971896634E-05,1.05812387118931E-05,0,0,0
-2.54412479989696E-05,1.16085002446198E-05,0,0,0
-2.57359424722381E-05,1.06370189314475E-05,0,0,0
-2.62283665506402E-05,9.13294115889585E-06,0,0,0
-2.47429470618954E-05,7.90286685514729E-06,0,0,0
-2.54336664511357E-05,6.45739146420965E-06,0,0,0
-2.42224505200284E-05,5.42500265510171E-06,0,0,0
-2.38303455262212E-05,6.6855168370239E-06,0,0,0
-2.33263799600536E-05,8.34389265946811E-06,0,0,0
-2.32776765187737E-05,8.74163652042625E-06,0,0,0
-2.44453585764859E-05,7.24153642295278E-06,0,0,0
-2.61566710832994E-05,5.69538133277092E-06,0,0,0
-2.19307294173632E-05,5.03544652019627E-06,0,0,0
-3.04854929709109E-05,6.63509308651555E-06,0,0,0
-2.28057524509495E-05,4.9465561460238E-06,0,0,0
-3.00073152175173E-05,6.8128183556837E-06,0,0,0
-2.76208520517685E-05,7.70701353758341E-06,0,0,0
-3.03758952213684E-05,1.14687491077348E-05,0,0,0
-2.52493809966836E-05,9.73472015175503E-06,0,0,0
-2.45834380621091E-05,6.96856886861497E-06,0,0,0
-2.29967754421523E-05,6.98077155902865E-06,0,0,0
-2.29154775297502E-05,1.07941523310728E-05,0,0,0
-2.31910635193344E-05,1.42261424116441E-05,0,0,0
-2.28784847422503E-05,1.43007055157796E-05,0,0,0
-2.5142860977212E-05,1.28708779811859E-05,0,0,0
-2.49060249188915E-05,1.0727333574323E-05,0,0,0
-2.57527717621997E-05,1.01191753856256E-05,0,0,0
-2.37756285059731E-05,8.42751887830673E-06,0,0,0
-2.42708374571521E-05,6.74706780046108E-06,0,0,0
-2.18693276110571E-05,4.41372912973748E-06,0,0,0
-2.22523431148147E-05,3.92824495065724E-06,0,0,0
-2.14771444007056E-05,4.95490849061753E-06,0,0,0
-2.23024890146917E-05,7.15775922799367E-06,0,0,0
-2.2124975657789E-05,7.31944737708545E-06,0,0,0
-2.41523703152779E-05,4.86283079226268E-06,0,0,0
-2.43909998971503E-05,2.65695393864007E-06,0,0,0
-2.44628081418341E-05,3.54169651473057E-06,0,0,0
-2.49816112045664E-05,5.3262979236024E-06,0,0,0
-2.61755649262341E-05,4.80242078992887E-06,0,0,0
-2.11120132007636E-05,2.87550710709183E-06,0,0,0
-3.02501539408695E-05,4.57401256426238E-06,0,0,0
-2.38815373450052E-05,5.26768326380989E-06,0,0,0
-3.09079259750433E-05,4.44999386672862E-06,0,0,0
-2.78865227301139E-05,7.68986637922353E-07,0,0,0
-3.03802262351383E-05,2.93004882223613E-06,0,0,0
-2.63790225289995E-05,6.65948891764856E-06,0,0,0
-2.61998065980151E-05,1.08788235593238E-05,0,0,0
-2.47826064878609E-05,1.54413773998385E-05,0,0,0
-2.42130336118862E-05,1.89506317838095E-05,0,0,0
-2.39080327446572E-05,1.94713702512672E-05,0,0,0
-2.31704761972651E-05,1.88298126886366E-05,0,0,0
-2.46384297497571E-05,1.81016876013018E-05,0,0,0
-2.359887912462E-05,1.68401038536103E-05,0,0,0
-2.34639792324742E-05,1.57714657689212E-05,0,0,0
-2.11182268685661E-05,1.33395142256632E-05,0,0,0
-2.2728112526238E-05,1.00844481494278E-05,0,0,0
-2.306497299287E-05,5.52704159417772E-06,0,0,0
-2.46034305746434E-05,3.55975498678163E-06,0,0,0
-2.3405907995766E-05,5.79572952119634E-06,0,0,0
-2.44403236138169E-05,1.08004924186389E-05,0,0,0
-2.44570164795732E-05,1.52409238580731E-05,0,0,0
-2.45685969275655E-05,1.75722798303468E-05,0,0,0
-2.40431018028175E-05,1.63935819728067E-05,0,0,0
-2.57013507507509E-05,1.44750501931412E-05,0,0,0
-2.7275682441541E-05,1.34721349240863E-05,0,0,0
-2.76818573183846E-05,1.13028199848486E-05,0,0,0
-2.11037677217973E-05,7.48691763874376E-06,0,0,0
-2.77587587333983E-05,9.0651019490906E-06,0,0,0
-1.80977131094551E-05,5.82290840611677E-06,0,0,0
-2.41312427533558E-05,8.53971141623333E-06,0,0,0
-2.1549789380515E-05,5.96907921135426E-06,0,0,0
-2.59198423009366E-05,7.80867139837937E-06,0,0,0
-2.31157446251018E-05,1.03060647234088E-05,0,0,0
-2.43168942688499E-05,1.40670526889153E-05,0,0,0
-2.46526287810411E-05,1.44691111927386E-05,0,0,0
-2.52001282206038E-05,1.25092092275736E-05,0,0,0
-2.47364514507353E-05,1.14963104351773E-05,0,0,0
-2.30804016609909E-05,1.17584540930693E-05,0,0,0
-2.36804989981465E-05,1.26156010082923E-05,0,0,0
-2.26564789045369E-05,1.29837162603508E-05,0,0,0
-2.40000790654449E-05,1.49968936966616E-05,0,0,0
-2.33158698392799E-05,1.48858371176175E-05,0,0,0
-2.4993698389153E-05,1.43211518661701E-05,0,0,0
-2.32719776249724E-05,1.37326969706919E-05,0,0,0
-2.37894491874613E-05,1.53928212967003E-05,0,0,0
-2.33617683988996E-05,1.68172809935641E-05,0,0,0
-2.46027520915959E-05,1.81165432877606E-05,0,0,0
-2.36734431382502E-05,1.60387462528888E-05,0,0,0
-2.38099328271346E-05,1.24802836580784E-05,0,0,0
-2.39972141571343E-05,9.53303151618456E-06,0,0,0
-2.57317060459172E-05,6.96429424351663E-06,0,0,0
-2.56676739809336E-05,1.94274139175832E-06,0,0,0
-2.32634411077015E-05,-4.0630893636262E-06,0,0,0
-1.5944364349707E-05,-4.17978208133718E-06,0,0,0
-2.31554695346858E-05,-2.09336849366082E-06,0,0,0
-1.99265668925364E-05,5.11425787408371E-06,0,0,0
-2.52660865953658E-05,4.49369917987497E-06,0,0,0
-2.15971667785198E-05,4.45710884378059E-06,0,0,0
-2.41444940911606E-05,5.68146424484439E-06,0,0,0
-2.21768314077053E-05,8.79563776834402E-06,0,0,0
-2.27947766688885E-05,7.87717362982221E-06,0,0,0
-2.19070680032019E-05,8.04066894488642E-06,0,0,0
-2.16452954191482E-05,1.05058788903989E-05,0,0,0
-2.13525745493826E-05,1.29291938719689E-05,0,0,0
-2.04632870008936E-05,1.50182941069943E-05,0,0,0
-2.1468969862326E-05,1.6291663996526E-05,0,0,0
-2.02058399736416E-05,1.83573010872351E-05,0,0,0
-1.95274242287269E-05,2.15086474781856E-05,0,0,0
-1.66685167641845E-05,2.39804030570667E-05,0,0,0
-1.61195384862367E-05,2.14033934753388E-05,0,0,0
-1.43710740303504E-05,1.72509753610939E-05,0,0,0
-1.53855016833404E-05,1.4183066014084E-05,0,0,0
-1.60328581841895E-05,1.28879282783601E-05,0,0,0
-1.72711188497487E-05,1.10297469291254E-05,0,0,0
-1.69090781128034E-05,1.10048194983392E-05,0,0,0
-1.76541761902627E-05,1.31890874399687E-05,0,0,0
-1.85172266355949E-05,1.66307545441668E-05,0,0,0
-1.99994228751166E-05,1.95803804672323E-05,0,0,0
-2.01652273972286E-05,2.04069892788539E-05,0,0,0
-2.03816944122082E-05,1.9646315195132E-05,0,0,0
-1.75749028130667E-05,1.39617741297116E-05,0,0,0
-2.70563687081449E-05,1.72328745975392E-05,0,0,0
-2.41149282373954E-05,1.08682916106773E-05,0,0,0
-2.86017057078425E-05,1.60528161359252E-05,0,0,0
-2.42672740569105E-05,1.35382579173893E-05,0,0,0
-2.65503040282056E-05,1.88459562195931E-05,0,0,0
-2.41735797317233E-05,1.99122514459305E-05,0,0,0
-2.53560374403605E-05,2.05018841370475E-05,0,0,0
-2.59441276284633E-05,1.80734969035257E-05,0,0,0
-2.68532276095357E-05,1.61189600476064E-05,0,0,0
-2.69591801043134E-05,1.4013952750247E-05,0,0,0
-2.56279035966145E-05,1.16527498903451E-05,0,0,0
-2.52805220952723E-05,7.55262863094686E-06,0,0,0
-2.34680901485262E-05,-5.73912927848141E-07,0,0,0
-2.40116351051256E-05,-1.39282485633885E-06,0,0,0
-2.39437213167548E-05,3.23797939927317E-06,0,0,0
-2.62099401879823E-05,9.29818634176627E-06,0,0,0
-2.59132011706242E-05,8.63856257637963E-06,0,0,0
-2.69334996119142E-05,6.75561250318424E-06,0,0,0
-2.66228598775342E-05,4.26634187533637E-06,0,0,0
-2.71495009656064E-05,5.18337310495554E-06,0,0,0
-2.55687773460522E-05,6.55743178867851E-06,0,0,0
-2.44251368712867E-05,9.08975380298216E-06,0,0,0
-2.18761524592992E-05,1.0727827429946E-05,0,0,0
-2.0513632989605E-05,1.31299702843535E-05,0,0,0
-2.10645303013735E-05,1.59939900186146E-05,0,0,0
-2.28178414545255E-05,1.79673152160831E-05,0,0,0
-1.89284110092558E-05,1.28066885736189E-05,0,0,0
-2.71581720880931E-05,1.6210487956414E-05,0,0,0
-2.18980476347497E-05,1.13865853563766E-05,0,0,0
-2.78098577837227E-05,1.32623772515217E-05,0,0,0
-2.34426224778872E-05,7.58561054681195E-06,0,0,0
-2.51530600507976E-05,1.05658327811398E-05,0,0,0
-2.22246962948702E-05,9.62095418799436E-06,0,0,0
-2.20316542254295E-05,1.10757528091199E-05,0,0,0
-2.13350085687125E-05,1.25379738165066E-05,0,0,0
-2.34842955251224E-05,1.3824988855049E-05,0,0,0
-2.50156663241796E-05,1.23889740279992E-05,0,0,0
-2.32534512178972E-05,1.12029783849721E-05,0,0,0
-2.18399218283594E-05,1.2819490621041E-05,0,0,0
-2.03880845219828E-05,1.24612015497405E-05,0,0,0
-2.32059119298356E-05,1.24461694213096E-05,0,0,0
