biceps_emg, triceps_emg, subject_position, position_estimate, brace_position
-2.50865796260769E-05,7.32314083506935E-06,0.17578125,0.544954188183927,0
-2.60284523392329E-05,7.35203138901852E-06,0.17578125,0.544958015039411,0
-2.49431614065543E-05,8.79019717103802E-06,0.17578125,0.544965653588621,0
-2.54500955634285E-05,1.09258544398472E-05,0.17578125,0.544977088375075,0
-2.3037968276185E-05,1.04895998447319E-05,0.17578125,0.544992303651063,0
-2.37836611631792E-05,1.05505669125705E-05,0.17578125,0.545011283381147,0
-2.31471112783765E-05,9.74480371951358E-06,0.17578125,0.545034011245632,0
-2.50136399699841E-05,1.03738257166697E-05,0.17578125,0.545060470643937,0
-2.4525525077479E-05,1.1416958841437E-05,0.17578125,0.545090644697779,0
-2.49929198616883E-05,1.34916917886585E-05,0.17578125,0.545124516254102,0
-2.26214397116564E-05,1.36695216497174E-05,0.17578125,0.545162067887803,0
-2.19446992559824E-05,1.32925806610729E-05,0.17578125,0.545203281904288,0
-2.17353899643058E-05,1.23397849165485E-05,0.17578125,0.545248140341897,0
-2.17743272514781E-05,1.30204653032706E-05,0.17578125,0.545296624974124,0
-2.09569534490583E-05,1.36728576762835E-05,0.17578125,0.545348717311537,0
-2.06526492547709E-05,1.41119962790981E-05,0.17578125,0.545404398603328,0
-1.75945042428793E-05,1.12917350634234E-05,0.17578125,0.545463649838475,0
-2.54566075454932E-05,1.60712352226255E-05,0.17578125,0.545526451746515,0
-1.93166833923897E-05,1.22314932013978E-05,0.17578125,0.545592784797896,0
-2.22792878048494E-05,1.42758726724423E-05,0.17578125,0.545662629203954,0
-1.81916639121482E-05,1.08727626866312E-05,0.17578125,0.54573596491653,0
-2.20410820475081E-05,1.32624491016031E-05,0.17578125,0.545812771627242,0
-2.19828234548913E-05,1.38182113005314E-05,0.17578125,0.545893028766318,0
-2.30422228923999E-05,1.56895439431537E-05,0.17578125,0.545976715500996,0
-2.15808613575064E-05,1.55863126565237E-05,0.17578125,0.546063810733604,0
-2.1299865693436E-05,1.51292706505046E-05,0.17578125,0.54615429309948,0
-2.28765602514613E-05,1.39917183332727E-05,0.17578125,0.546248140964835,0
-2.36589930864284E-05,1.26516169984825E-05,0.17578125,0.546345332424542,0
-2.48423402808839E-05,1.24445778055815E-05,0.17578125,0.546445845299825,0
-2.31767589866649E-05,1.21921639220091E-05,0.17578125,0.546549657135842,0
-2.28860808419995E-05,1.34249439724954E-05,0.17578125,0.54665674519923,0
-2.16426560655236E-05,1.20217318908544E-05,0.17578125,0.546767086475663,0
-2.29259148909478E-05,1.15436623673304E-05,0.17578125,0.546880657667442,0
-2.22461403609486E-05,1.11123172246153E-05,0.17578125,0.546997435191101,0
-2.23299630306428E-05,1.28342508105561E-05,0.17578125,0.547117395175096,0
-2.04450225282926E-05,1.34630117827328E-05,0.17578125,0.547240513457634,0
-2.09157406061422E-05,1.41747996167396E-05,0.17578125,0.547366765584628,0
-2.2015690774424E-05,1.23547488328768E-05,0.17578125,0.54749612680773,0
-2.42869464273099E-05,9.79746891971445E-06,0.17578125,0.547628572082392,0
-2.45203445956577E-05,6.98464054949E-06,0.17578125,0.54776407606605,0
-2.40784265770344E-05,6.87200645188568E-06,0.17578125,0.547902613116638,0
-2.35399947996484E-05,7.84018993726932E-06,0.17578125,0.548044157291697,0
-2.38743396039354E-05,7.90673402661923E-06,0.17578125,0.548188682348216,0
