biceps_emg, triceps_emg, subject_position, position_estimate, brace_position
-3.0839644750813E-05,1.87866953638149E-05,-0.17578125,0,0
-2.75531219813274E-05,1.7803002265282E-05,-0.17578125,0,0
-2.50508510362124E-05,1.60321578732692E-05,-0.17578125,0,0
-2.43098420469323E-05,1.49631614476675E-05,-0.17578125,0,0
-1.78750869963551E-05,1.14290296551189E-05,-0.17578125,0,0
-2.25501935346983E-05,1.5605466614943E-05,-0.17578125,0,0
-1.37047063617501E-05,1.16800065370626E-05,-0.17578125,0,0
-1.84167929546675E-05,1.56642145157093E-05,-0.17578125,0,0
-1.48140234159655E-05,1.33179055410437E-05,-0.17578125,0,0
-1.69109916896559E-05,1.50695695992908E-05,-0.17578125,0,0
-1.45185349538224E-05,1.36831367854029E-05,-0.17578125,0,0
-1.64365628734231E-05,1.25085025501903E-05,-0.17578125,0,0
-1.70250805240357E-05,8.92063417268218E-06,-0.17578125,0,0
-1.784405685612E-05,6.50906713417498E-06,-0.17578125,0,0
-1.83734773600008E-05,6.19971024207189E-06,-0.17578125,0,0
-1.7839323845692E-05,6.39713744021719E-06,-0.17578125,0,0
-1.89035563380457E-05,7.10312360752141E-06,-0.17578125,0,0
-1.76994089997606E-05,4.81866572954459E-06,-0.17578125,0,0
-1.77713172888616E-05,2.49991080636391E-06,-0.17578125,0,0
-1.63450931722764E-05,6.37585060303536E-07,-0.17578125,0,0
-1.81506820808863E-05,2.53132907346298E-06,-0.17578125,0,0
-1.83662959898356E-05,3.55642941940459E-06,-0.17578125,0,0
-2.06294498639181E-05,5.23493145010434E-06,-0.17578125,0,0
-2.17238884943072E-05,5.433464593807E-06,-0.17578125,0,0
-2.44666643993696E-05,5.35428716830211E-06,-0.17578125,0,0
-2.40235603996553E-05,4.05850596507662E-06,-0.17578125,0,0
-2.33399950957391E-05,2.9158752568037E-06,-0.17578125,0,0
-2.27715045184596E-05,1.26519807963632E-06,-0.17578125,0,0
-2.22348680836149E-05,2.18427703657653E-06,-0.17578125,0,0
-2.09810314117931E-05,3.64198899660551E-06,-0.17578125,0,0
-2.00466292881174E-05,4.3030613596784E-06,-0.17578125,0,0
-1.59477331180824E-05,4.52207450507558E-06,-0.17578125,0,0
-2.1569685486611E-05,7.14527368472773E-06,-0.17578125,0,0
-1.53697237692541E-05,5.53567724637105E-06,-0.17578125,0,0
-1.95732591237174E-05,5.68820632906863E-06,-0.17578125,0,0
-1.66564968822058E-05,5.73013721805182E-06,-0.17578125,0,0
-1.959716064448E-05,7.25017980585108E-06,-0.17578125,0,0
-1.73134358192328E-05,7.50110075387056E-06,-0.17578125,0,0
-1.60051986313192E-05,8.01270653028041E-06,-0.17578125,0,0
-1.29112913782592E-05,7.25420113667496E-06,-0.17578125,0,0
-1.26476770674344E-05,7.01906446920475E-06,-0.17578125,0,0
-1.5056818483572E-05,7.64822743803961E-06,-0.17578125,0,0
-1.76421181095066E-05,7.80169284553267E-06,-0.17578125,0,0
-1.9713612346095E-05,8.14268878457369E-06,-0.17578125,0,0
-1.81957002496347E-05,8.18550142867025E-06,-0.17578125,0,0
-1.83738629857544E-05,8.43746056489181E-06,-0.17578125,0,0
-1.76204757735832E-05,8.30184580991045E-06,-0.17578125,0,0
-1.98377692868235E-05,8.64253252075287E-06,-0.17578125,0,0
-2.12728737096768E-05,7.51481138649979E-06,-0.17578125,0,0
-2.4325801859959E-05,5.40686005479074E-06,-0.17578125,0,0
-2.45659175561741E-05,2.9702400752285E-06,-0.17578125,0,0
-2.50084303843323E-05,2.2919634830032E-06,-0.17578125,0,0
-2.46771342062857E-05,1.1662392580547E-06,-0.17578125,0,0
-2.63489346252754E-05,-1.22298683891131E-06,-0.17578125,0,0
-2.69100964942481E-05,-3.79348853130068E-06,-0.17578125,0,0
-2.71491771854926E-05,-5.9203684941167E-06,-0.17578125,0,0
-2.756583126029E-05,-6.60152545606252E-06,-0.17578125,0,0
-2.7612713893177E-05,-6.5092549448309E-06,-0.17578125,0,0
-2.19197409023764E-05,-4.46405010734452E-06,-0.17578125,0,0
-3.19454884447623E-05,-5.49511605640873E-06,-0.17578125,0,0
-2.65350736299297E-05,-2.10936536859663E-06,-0.17578125,0,0
-3.50955670000985E-05,3.16129984412328E-07,-0.17578125,0,0
-3.25994296872523E-05,6.46096623313497E-06,-0.17578125,0,0
-3.51815433532465E-05,9.33105638978304E-06,-0.17578125,0,0
-3.16723853757139E-05,1.16592782433145E-05,-0.17578125,0,0
-3.26167682942469E-05,1.15123011710239E-05,-0.17578125,0,0
-3.21600527968258E-05,1.25911110444576E-05,-0.17578125,0,0
-3.27051384374499E-05,1.40842394102947E-05,-0.17578125,0,0
-3.33239768224303E-05,1.28094652609434E-05,-0.17578125,0,0
-3.21135157719254E-05,9.48429442360066E-06,-0.17578125,0,0
-3.07583322864957E-05,7.74804539105389E-06,-0.17578125,0,0
-2.72062043222832E-05,8.34985894471174E-06,-0.17578125,0,0
-2.63710044237087E-05,7.89421119407052E-06,-0.17578125,0,0
-2.29389024752891E-05,7.50365688872989E-06,-0.17578125,0,0
-2.23910792556126E-05,6.33144645689754E-06,-0.17578125,0,0
-2.09205300052417E-05,5.61251727049239E-06,-0.17578125,0,0
-2.24687428271864E-05,4.21317099608132E-06,-0.17578125,0,0
-2.17469405470183E-05,3.23959011439001E-06,-0.17578125,0,0
-2.15258151001763E-05,2.10253483601264E-06,-0.17578125,0,0
-1.96471119124908E-05,3.11456597046345E-06,-0.17578125,0,0
-1.9952853108407E-05,4.77347157357144E-06,-0.17578125,0,0
-1.98514990188414E-05,4.12551980844E-06,-0.17578125,0,0
-1.97657827811781E-05,2.06004574465624E-06,-0.17578125,0,0
-1.85984135896433E-05,2.41900693254138E-06,-0.17578125,0,0
-1.78619375219569E-05,4.53978782388731E-06,-0.17578125,0,0
-1.59704741236055E-05,5.2923678595107E-06,-0.17578125,0,0
-2.41761536017293E-05,8.61590433487436E-06,-0.17578125,0,0
-2.1615247533191E-05,8.14893610368017E-06,-0.17578125,0,0
-2.75874081125949E-05,9.08580113900825E-06,-0.17578125,0,0
-2.36845680774422E-05,5.56121631234419E-06,-0.17578125,0,0
-2.29995130212046E-05,4.87310035168775E-06,-0.17578125,0,0
-2.16166645259364E-05,6.12276153333369E-06,-0.17578125,0,0
-2.52383670158451E-05,8.47429510031361E-06,-0.17578125,0,0
-2.69434312940575E-05,9.0456087491475E-06,-0.17578125,0,0
-2.71073495241581E-05,8.50613378133858E-06,-0.17578125,0,0
-2.63160327449441E-05,4.44130273535848E-06,-0.17578125,0,0
-2.5236653527827E-05,-3.56854184246913E-06,-0.17578125,0,0
-2.60001197602833E-05,-9.81108132691588E-06,-0.17578125,0,0
-2.50519042310771E-05,-1.08222775452305E-05,-0.17578125,0,0
-2.43224876612658E-05,-8.18902026367141E-06,-0.17578125,0,0
-2.21478276216658E-05,-7.07096978658228E-06,-0.17578125,0,0
-2.29425368161174E-05,-6.19923412159551E-06,-0.17578125,0,0
-2.27913496928522E-05,-5.05725347466068E-06,-0.17578125,0,0
-2.41748821281362E-05,-2.33425521400932E-06,-0.17578125,0,0
-2.43647609750042E-05,8.06595494395879E-07,-0.17578125,0,0
-2.65698945440818E-05,4.09729864259134E-06,-0.17578125,0,0
-2.83558438241016E-05,6.60636669636006E-06,-0.17578125,0,0
-2.98349532386055E-05,8.99513543117791E-06,-0.17578125,0,0
-2.92516306217294E-05,8.90926276042592E-06,-0.17578125,0,0
-2.92750264634378E-05,6.19173533777939E-06,-0.17578125,0,0
-3.04398545267759E-05,3.64531933882972E-06,-0.17578125,0,0
-3.10510804411024E-05,4.00971703129471E-06,-0.17578125,0,0
-2.35451461776393E-05,4.49908384325681E-06,-0.17578125,0,0
-3.19085811497644E-05,6.64221443003044E-06,-0.17578125,0,0
-2.321678584849E-05,6.77458956488408E-06,-0.17578125,0,0
-3.05775356537197E-05,1.34731335492688E-05,-0.17578125,0,0
-2.65688759100158E-05,1.73647913470631E-05,-0.17578125,0,0
-3.10931645799428E-05,1.72494655998889E-05,-0.17578125,0,0
-2.87031652987935E-05,1.41580667332164E-05,-0.17578125,0,0
-3.12868032779079E-05,1.15836755867349E-05,-0.17578125,0,0
-3.16709556500427E-05,1.1063846613979E-05,-0.17578125,0,0
-3.10202958644368E-05,1.33051307784626E-05,-0.17578125,0,0
-3.02247935906053E-05,1.70954117493238E-05,-0.17578125,0,0
-2.83489061985165E-05,2.32078491535503E-05,-0.17578125,0,0
-2.75250804406824E-05,3.12012743961532E-05,-0.17578125,0,0
-2.51905166805955E-05,3.68111032003071E-05,-0.17578125,0,0
-2.75996972050052E-05,3.83326841983944E-05,-0.17578125,0,0
-2.81286629615352E-05,3.65231244359165E-05,-0.17578125,0,0
-3.03530378005235E-05,3.42274652211927E-05,-0.17578125,0,0
-2.91569267574232E-05,3.17194317176472E-05,-0.17578125,0,0
-3.05505600408651E-05,3.08170892822091E-05,-0.17578125,0,0
-2.97498409054242E-05,3.00309093290707E-05,-0.17578125,0,0
-3.02094431390287E-05,2.94274632324232E-05,-0.17578125,0,0
-2.89798426820198E-05,3.05266621580813E-05,-0.17578125,0,0
-3.00201318168547E-05,3.31090086547192E-05,-0.17578125,0,0
-3.05469802697189E-05,3.33863754349295E-05,-0.17578125,0,0
-3.23767017107457E-05,3.24575121339876E-05,-0.17578125,0,0
-3.34277028741781E-05,3.26357585436199E-05,-0.17578125,0,0
-3.39262915076688E-05,3.44344953191467E-05,-0.17578125,0,0
-2.79110372503055E-05,3.03010601783171E-05,-0.17578125,0,0
-3.91431858588476E-05,4.57115093013272E-05,-0.17578125,0,0
-2.75754900940228E-05,3.96231553168036E-05,-0.17578125,0,0
